query_index,num_active_labels,num_relevant_gallery,AP_percent,first_hit_rank,hit@1,hit@5,hit@10
819,2,6243,78.44840288162231,1,True,True,True
820,3,8132,86.74285411834717,1,True,True,True
821,4,8939,93.92574429512024,1,True,True,True
822,2,5092,38.76572549343109,1,True,True,True
823,2,5218,50.43489336967468,1,True,True,True
824,3,5756,61.969172954559326,1,True,True,True
825,2,5092,76.38140916824341,1,True,True,True
826,3,7284,85.45440435409546,1,True,True,True
827,2,5218,62.879133224487305,1,True,True,True
828,3,6789,73.40837717056274,1,True,True,True
829,3,6684,70.63690423965454,1,True,True,True
830,1,3721,39.921557903289795,2,False,True,True
831,4,7731,85.997873544693,1,True,True,True
832,3,6870,69.4248914718628,1,True,True,True
833,3,6511,77.18189358711243,1,True,True,True
834,2,5629,78.83086800575256,1,True,True,True
835,3,7143,76.25743746757507,1,True,True,True
836,3,6875,75.72994828224182,1,True,True,True
837,4,8234,93.85527968406677,1,True,True,True
838,5,9054,90.55815935134888,1,True,True,True
839,1,4518,54.694145917892456,2,False,True,True
840,4,6748,86.1846387386322,1,True,True,True
841,3,8132,87.37179040908813,1,True,True,True
842,1,4518,60.88572144508362,1,True,True,True
843,1,4518,70.55800557136536,1,True,True,True
844,2,4507,49.07189607620239,1,True,True,True
845,3,8132,85.16433238983154,1,True,True,True
846,3,5869,82.75926113128662,1,True,True,True
847,4,7590,84.59464311599731,1,True,True,True
848,3,8433,89.88807201385498,1,True,True,True
849,3,5738,57.685261964797974,1,True,True,True
850,1,3218,47.51382768154144,1,True,True,True
851,3,7413,82.46259093284607,3,False,True,True
852,2,5092,77.08871364593506,1,True,True,True
853,3,7143,73.5945463180542,1,True,True,True
854,3,8132,83.24694037437439,1,True,True,True
855,1,1551,11.11159548163414,2,False,True,True
856,4,7419,79.64366674423218,1,True,True,True
857,2,5218,66.03271961212158,1,True,True,True
858,3,7157,75.76572299003601,2,False,True,True
859,2,7227,77.90035009384155,1,True,True,True
860,2,5850,68.09120774269104,1,True,True,True
861,2,5218,68.1624710559845,1,True,True,True
862,5,8830,96.1078405380249,1,True,True,True
863,2,5591,72.51412868499756,1,True,True,True
864,4,8022,89.91187810897827,1,True,True,True
865,2,6123,76.97889804840088,1,True,True,True
866,3,7284,86.52682900428772,1,True,True,True
867,4,6117,60.9916090965271,1,True,True,True
868,2,5629,55.7509183883667,1,True,True,True
869,1,3721,45.98899483680725,2,False,True,True
870,2,7227,79.72217202186584,1,True,True,True
871,2,3952,41.647011041641235,3,False,True,True
872,5,9046,90.21162390708923,1,True,True,True
873,1,1551,30.0044447183609,1,True,True,True
874,3,6804,79.42952513694763,1,True,True,True
875,3,8132,84.57843661308289,1,True,True,True
876,3,6804,81.67924284934998,1,True,True,True
877,1,1551,45.2288419008255,1,True,True,True
878,3,7249,81.23152256011963,1,True,True,True
879,1,3990,50.753211975097656,1,True,True,True
880,4,7393,80.65748810768127,1,True,True,True
881,4,7089,81.5167248249054,1,True,True,True
882,2,5218,69.18187737464905,1,True,True,True
883,1,3721,45.27817964553833,1,True,True,True
884,2,5218,57.008951902389526,1,True,True,True
885,4,8383,89.6507203578949,1,True,True,True
886,2,5629,83.86078476905823,1,True,True,True
887,2,5629,81.15039467811584,1,True,True,True
888,3,5425,68.19825768470764,1,True,True,True
889,3,7989,92.24435091018677,1,True,True,True
890,3,6804,68.06464195251465,1,True,True,True
891,4,8147,86.03587746620178,1,True,True,True
892,3,6207,68.906569480896,1,True,True,True
893,4,7165,80.88438510894775,1,True,True,True
894,2,5218,65.73324203491211,1,True,True,True
895,4,7481,73.18277955055237,1,True,True,True
896,3,6444,82.30080008506775,1,True,True,True
897,1,4518,36.44156754016876,1,True,True,True
898,2,5092,60.833150148391724,1,True,True,True
899,4,7468,84.93656516075134,1,True,True,True
900,2,5001,56.90501928329468,1,True,True,True
901,3,8132,86.80956959724426,2,False,True,True
902,2,5629,83.4599494934082,1,True,True,True
903,3,8185,86.49004101753235,1,True,True,True
904,3,8132,74.62090253829956,1,True,True,True
905,4,7731,84.76338982582092,1,True,True,True
906,4,7890,87.67961859703064,1,True,True,True
907,2,7227,83.35020542144775,1,True,True,True
908,1,3721,50.2536416053772,1,True,True,True
909,4,6748,81.28750324249268,1,True,True,True
910,3,8433,89.52510952949524,1,True,True,True
911,3,7284,88.13461065292358,1,True,True,True
912,5,7276,90.18006324768066,1,True,True,True
913,2,5218,65.08472561836243,1,True,True,True
914,3,7058,78.8813591003418,1,True,True,True
915,2,6243,74.38966035842896,1,True,True,True
916,3,6397,87.11203336715698,1,True,True,True
917,5,9533,96.06538414955139,1,True,True,True
918,1,3990,43.90583038330078,4,False,True,True
919,3,5738,69.09926533699036,1,True,True,True
920,3,6397,81.83226585388184,1,True,True,True
921,3,5738,64.10163640975952,1,True,True,True
922,2,7227,76.58007740974426,1,True,True,True
923,1,4518,49.34847056865692,1,True,True,True
924,4,8151,88.80635499954224,1,True,True,True
925,4,7089,83.55537056922913,1,True,True,True
926,3,5081,60.10342836380005,1,True,True,True
927,5,8915,96.01348638534546,1,True,True,True
928,2,5001,58.016979694366455,1,True,True,True
929,2,4062,34.27682816982269,4,False,True,True
930,1,3002,36.619991064071655,1,True,True,True
931,4,8755,88.47783207893372,1,True,True,True
932,4,8805,93.00334453582764,1,True,True,True
933,2,5218,61.68326735496521,1,True,True,True
934,1,4518,63.07787895202637,1,True,True,True
935,2,6243,77.63842940330505,1,True,True,True
936,3,8433,88.51092457771301,1,True,True,True
937,5,7616,84.92081761360168,1,True,True,True
938,2,6243,71.17688059806824,1,True,True,True
939,1,4518,70.70696949958801,1,True,True,True
